"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\odinh\pitch-it\Frontend\screens\FeedScreen\CommentsScreen\components\Comment\index.js", "JavaScript", 16, 0, 10, 26
"c:\Users\odinh\pitch-it\Frontend\screens\FeedScreen\CommentsScreen\components\Header\index.js", "JavaScript", 17, 0, 10, 27
"c:\Users\odinh\pitch-it\Frontend\screens\FeedScreen\CommentsScreen\components\Header\styles.js", "JavaScript", 23, 0, 18, 41
"c:\Users\odinh\pitch-it\Frontend\screens\FeedScreen\CommentsScreen\components\ListOfComments\TextInputBottom\index.js", "JavaScript", 31, 0, 16, 47
"c:\Users\odinh\pitch-it\Frontend\screens\FeedScreen\CommentsScreen\components\ListOfComments\TextInputBottom\styles.js", "JavaScript", 20, 0, 12, 32
"c:\Users\odinh\pitch-it\Frontend\screens\FeedScreen\CommentsScreen\components\ListOfComments\index.js", "JavaScript", 38, 1, 26, 65
"c:\Users\odinh\pitch-it\Frontend\screens\FeedScreen\CommentsScreen\components\ListOfComments\styles.js", "JavaScript", 39, 0, 20, 59
"c:\Users\odinh\pitch-it\Frontend\screens\FeedScreen\CommentsScreen\index.js", "JavaScript", 11, 0, 11, 22
"c:\Users\odinh\pitch-it\Frontend\screens\FeedScreen\CreatePostScreen\components\Header\index.js", "JavaScript", 17, 0, 10, 27
"c:\Users\odinh\pitch-it\Frontend\screens\FeedScreen\CreatePostScreen\components\Header\styles.js", "JavaScript", 22, 0, 19, 41
"c:\Users\odinh\pitch-it\Frontend\screens\FeedScreen\CreatePostScreen\components\UploadContent\index.js", "JavaScript", 60, 0, 44, 104
"c:\Users\odinh\pitch-it\Frontend\screens\FeedScreen\CreatePostScreen\components\UploadContent\styles.js", "JavaScript", 26, 0, 13, 39
"c:\Users\odinh\pitch-it\Frontend\screens\FeedScreen\CreatePostScreen\index.js", "JavaScript", 15, 0, 17, 32
"c:\Users\odinh\pitch-it\Frontend\screens\FeedScreen\components\Feed\index.js", "JavaScript", 78, 0, 60, 138
"c:\Users\odinh\pitch-it\Frontend\screens\FeedScreen\components\Feed\styles.js", "JavaScript", 30, 0, 10, 40
"c:\Users\odinh\pitch-it\Frontend\screens\FeedScreen\components\Post\Footer\index.js", "JavaScript", 84, 1, 55, 140
"c:\Users\odinh\pitch-it\Frontend\screens\FeedScreen\components\Post\Footer\styles.js", "JavaScript", 52, 0, 29, 81
"c:\Users\odinh\pitch-it\Frontend\screens\FeedScreen\components\Post\Header\index.js", "JavaScript", 26, 0, 30, 56
"c:\Users\odinh\pitch-it\Frontend\screens\FeedScreen\components\Post\Header\styles.js", "JavaScript", 30, 0, 25, 55
"c:\Users\odinh\pitch-it\Frontend\screens\FeedScreen\components\Post\index.js", "JavaScript", 75, 0, 64, 139
"c:\Users\odinh\pitch-it\Frontend\screens\FeedScreen\components\Post\styles.js", "JavaScript", 14, 0, 11, 25
"c:\Users\odinh\pitch-it\Frontend\screens\FeedScreen\components\Post\tempCodeRunnerFile.js", "JavaScript", 0, 0, 1, 1
